words,images,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,slider_valence.response,slider_arousal.response,slider_arousal.rt,group,participant,session,date,expName,psychopyVersion,frameRate,
startled,None,0,0,0,2,None,None,None,A,,001,2019_Jun_20_2033,SAM,3.0.6,60.11331554032826,
divorce,None,0,1,1,8,None,None,None,A,,001,2019_Jun_20_2033,SAM,3.0.6,60.11331554032826,
,,,,,,None,,,,,,,,,,
