words,images,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,slider_valence.response,slider_arousal.response,slider_arousal.rt,group,participant,session,date,expName,psychopyVersion,frameRate,
None,Pictures/1051.jpg,0,0,0,14,None,None,None,A,,001,2019_Jun_20_2034,SAM,3.0.6,60.760463832284046,
birthday,None,0,1,1,4,None,None,None,A,,001,2019_Jun_20_2034,SAM,3.0.6,60.760463832284046,
,,,,,,None,,,,,,,,,,
