words,images,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,slider_valence.response,slider_arousal.response,slider_arousal.rt,group,participant,session,date,expName,psychopyVersion,frameRate,
bunny,None,0,0,0,0,None,None,None,A,,001,2019_Jun_20_2032,SAM,3.0.6,60.274302111695654,
startled,None,0,1,1,2,None,None,None,A,,001,2019_Jun_20_2032,SAM,3.0.6,60.274302111695654,
