words,images,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,slider_valence.response,slider_arousal.response,slider_arousal.rt,group,participant,session,date,expName,psychopyVersion,frameRate,
bunny,None,0,0,0,0,None,None,None,A,,001,2019_Jun_20_2032,SAM,3.0.6,60.73477435816816,
None,Pictures/1050.jpg,0,1,1,13,None,None,None,A,,001,2019_Jun_20_2032,SAM,3.0.6,60.73477435816816,
dollar,None,0,2,2,10,None,None,None,A,,001,2019_Jun_20_2032,SAM,3.0.6,60.73477435816816,
divorce,None,0,3,3,8,None,None,None,A,,001,2019_Jun_20_2032,SAM,3.0.6,60.73477435816816,
python,None,0,4,4,9,None,None,None,A,,001,2019_Jun_20_2032,SAM,3.0.6,60.73477435816816,
impair,None,0,5,5,11,None,None,None,A,,001,2019_Jun_20_2032,SAM,3.0.6,60.73477435816816,
