words,images,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,slider_valence.response,slider_arousal.response,slider_arousal.rt,group,participant,session,date,expName,psychopyVersion,frameRate,
dollar,None,0,0,0,10,None,None,None,A,,001,2019_Jun_21_1737,SAM,3.0.6,59.7545742960594,
bunny,None,0,1,1,0,None,None,None,A,,001,2019_Jun_21_1737,SAM,3.0.6,59.7545742960594,
afraid,None,0,2,2,1,None,None,None,A,,001,2019_Jun_21_1737,SAM,3.0.6,59.7545742960594,
python,None,0,3,3,9,None,None,None,A,,001,2019_Jun_21_1737,SAM,3.0.6,59.7545742960594,
table,None,0,4,4,7,None,None,None,A,,001,2019_Jun_21_1737,SAM,3.0.6,59.7545742960594,
divorce,None,0,5,5,8,None,None,None,A,,001,2019_Jun_21_1737,SAM,3.0.6,59.7545742960594,
None,Pictures/1050.jpg,0,6,6,13,None,None,None,A,,001,2019_Jun_21_1737,SAM,3.0.6,59.7545742960594,
coward,None,0,7,7,5,None,None,None,A,,001,2019_Jun_21_1737,SAM,3.0.6,59.7545742960594,
None,Pictures/1070.jpg,0,8,8,16,None,None,None,A,,001,2019_Jun_21_1737,SAM,3.0.6,59.7545742960594,
None,Pictures/1051.jpg,0,9,9,14,None,None,None,A,,001,2019_Jun_21_1737,SAM,3.0.6,59.7545742960594,
cozy,None,0,10,10,6,None,None,None,A,,001,2019_Jun_21_1737,SAM,3.0.6,59.7545742960594,
